"rgn_id","year","count"
1,1990,434993.370402454
2,1990,3159154.10086712
6,1990,262260.11023122
1,1991,450701.059537755
2,1991,3273231.72577671
6,1991,271730.370157918
1,1992,468258.2328208
2,1992,3400741.29201549
6,1992,282315.695162527
1,1993,486239.962782042
2,1993,3531334.21552416
6,1993,293156.987933082
1,1994,503047.800959604
2,1994,3653401.71015339
6,1994,303290.534311312
1,1995,521793.052170018
2,1995,3789539.73262113
6,1995,314592.158619302
1,1996,539246.441759232
2,1996,3916295.56626472
6,1996,325114.911812853
1,1997,556995.656794137
2,1997,4045199.84223751
6,1997,335816.019940696
1,1998,575972.348434674
2,1998,4183018.70867593
6,1998,347257.18107119
1,1999,598124.688376251
2,1999,4343900.82857004
6,1999,360612.959596234
1,2000,618159.072792144
2,2000,4489401.22465024
6,2000,372691.810040473
1,2001,678607.880742678
2,2001,4928412.74188963
6,2001,409136.758665289
1,2002,684184.434124775
2,2002,4968912.64989848
6,2002,412498.896123489
1,2003,688374.462604081
2,2003,4999342.87379109
6,2003,415025.089407397
1,2004,725714.070885318
2,2004,5270523.04492176
6,2004,437537.363042206
1,2005,731545.386700394
2,2005,5312873.17373775
6,2005,441053.098298216
1,2006,761387.626527609
2,2006,5529603.45227506
6,2006,459045.16355519
1,2007,755620.692793583
2,2007,5487720.90050555
6,2007,455568.244641731
1,2008,760034.21850811
2,2008,5519774.28064656
6,2008,458229.185748325
1,2009,773155.151135374
2,2009,5615065.49871334
6,2009,466139.874672111
1,2010,794463.737571475
2,2010,5769819.83016673
6,2010,478986.949151506
1,2011,813745.235838451
2,2011,5909852.36506403
6,2011,490611.880023996
1,2012,833262.940129241
2,2012,6051600.35421779
6,2012,502379.22092399
