"rgn_id","year","value"
1,1990,0.0634670364988123
2,1990,0.0634670364988123
6,1990,0.0634670364988123
1,1991,0.0677278070551251
2,1991,0.0677278070551251
6,1991,0.0677278070551251
1,1992,0.0690207601233494
2,1992,0.0690207601233494
6,1992,0.0690207601233494
1,1993,0.0716312722868996
2,1993,0.0716312722868996
6,1993,0.0716312722868996
1,1994,0.0719327697418609
2,1994,0.0719327697418609
6,1994,0.0719327697418609
1,1995,0.0709286064746118
2,1995,0.0709286064746118
6,1995,0.0709286064746118
1,1996,0.0703215079939048
2,1996,0.0703215079939048
6,1996,0.0703215079939048
1,1997,0.0701339478029591
2,1997,0.0701339478029591
6,1997,0.0701339478029591
1,1998,0.0746748387718503
2,1998,0.0746748387718503
6,1998,0.0746748387718503
1,1999,0.0712021655589481
2,1999,0.0712021655589481
6,1999,0.0712021655589481
1,2000,0.0649822616968376
2,2000,0.0649822616968376
6,2000,0.0649822616968376
1,2001,0.0661039579972296
2,2001,0.0661039579972296
6,2001,0.0661039579972296
1,2002,0.0648490767816137
2,2002,0.0648490767816137
6,2002,0.0648490767816137
1,2003,0.0662158751835817
2,2003,0.0662158751835817
6,2003,0.0662158751835817
1,2004,0.0643688876889964
2,2004,0.0643688876889964
6,2004,0.0643688876889964
1,2005,0.0705769803733149
2,2005,0.0705769803733149
6,2005,0.0705769803733149
1,2006,0.0676071361114959
2,2006,0.0676071361114959
6,2006,0.0676071361114959
1,2007,0.0685462451607389
2,2007,0.0685462451607389
6,2007,0.0685462451607389
1,2008,0.0718416872644582
2,2008,0.0718416872644582
6,2008,0.0718416872644582
1,2009,0.0730362116381909
2,2009,0.0730362116381909
6,2009,0.0730362116381909
1,2010,0.0708867438740187
2,2010,0.0708867438740187
6,2010,0.0708867438740187
1,2011,0.0715555804614436
2,2011,0.0715555804614436
6,2011,0.0715555804614436
1,2012,0.0774539196537977
2,2012,0.0774539196537977
6,2012,0.0774539196537977
1,2013,0.0794545094733515
2,2013,0.0794545094733515
6,2013,0.0794545094733515
