"rgn_id","year","area_km2"
1,1959,813
2,1959,813
6,1959,813
1,1979,106
2,1979,106
6,1979,106
1,1988,4
2,1988,4
6,1988,4
1,1990,90
2,1990,90
6,1990,90
1,1995,232
2,1995,232
6,1995,232
1,1996,7875
2,1996,7875
6,1996,7875
1,2007,3
2,2007,3
6,2007,3
