"rgn_id","year","count"
1,1988,5312.7651351578
2,1988,38584.1369217863
6,1988,3203.09794305593
1,1989,5470.6817209162
2,1989,39731.011479971
6,1989,3298.3067991128
1,1990,6158.74684457783
2,1990,44728.1077692045
6,1990,3713.1453862177
1,1991,5989.55050269382
2,1991,43499.3135997208
6,1991,3611.13589758535
1,1992,6068.50879557303
2,1992,44072.7508788132
6,1992,3658.74032561378
1,1993,7737.91270216189
2,1993,56196.8533510518
6,1993,4665.23394678635
1,1994,7151.36538363067
2,1994,51937.0335635085
6,1994,4311.60105286085
1,1995,7252.88318876107
2,1995,52674.3100651987
6,1995,4372.80674604026
1,1996,7692.79367765949
2,1996,55869.1749058561
6,1996,4638.03141648439
1,1997,7523.59733577548
2,1997,54640.3807363725
6,1997,4536.02192785203
1,1998,7376.96050614268
2,1998,53575.4257894867
6,1998,4447.61370437066
1,1999,9463.71538937875
2,1999,68730.5538797849
6,1999,5705.73073083636
1,2000,12588.2078361701
2,2000,91422.2862095828
6,2000,7589.50595424718
1,2001,10557.851733562
2,2001,76676.7561757791
6,2001,6365.39209065892
1,2002,10163.060269166
2,2002,73809.5697803173
6,2002,6127.36995051676
1,2003,9305.79880362035
2,2003,67583.6793216002
6,2003,5610.5218747795
1,2004,9599.07246288596
2,2004,69713.5892153718
6,2004,5787.33832174225
1,2005,9790.82831702117
2,2005,71106.2226074533
6,2005,5902.94907552558
1,2006,9926.18539052837
2,2006,72089.2579430402
6,2006,5984.55666643147
1,2007,10975.2027102092
2,2007,79707.7817938387
6,2007,6617.01549595206
1,2008,11009.041978586
2,2008,79953.5406277354
6,2008,6637.41739367853
1,2009,11505.3512481124
2,2009,83558.0035248875
6,2009,6936.64522700011
1,2010,11855.023688006
2,2010,86097.5114751536
6,2010,7147.46483684031
1,2011,11967.821249262
2,2011,86916.7075881427
6,2011,7215.47116259521
1,2012,12520.5292994165
2,2012,90930.7685417893
6,2012,7548.70215879424
1,2013,13366.5110088365
2,2013,97074.7393892075
6,2013,8058.74960195601
